# V61-HeNe
# Beobachtung von TEM-Moden
#
# Verschiebung_TEM10[mm]   Intensität_TEM10[microWatt]	Verschiebung_TEM00[mm]   Intensität_TEM00[microWatt]
-13.5	0.05	-12	0.02
-12.0	0.06	-11	0.02
-11.0	0.09	-10	0.24
-10.0	0.11	-9	0.63
-9.0	0.41	-8	0.94
-8.0	0.96	-7	1.32
-7.0	1.45	-6	2.5
-6.0	2.0	-5	4.0
-5.0	3.0	-4	6.4
-4.0	5.0	-3	8.9
-3.0	6.0	-2	12.9
-2.0	5.5	-1	17.5
-1.0	4.3	0	23
0.0	3.3	1	28
1.0	2.1	2	32
2.0	0.69	3	36
3.0	0.04	4	37
4.0	0.84	5	36
5.0	3.1	6	30
6.0	5.4	7	23
7.0	6.6	8	14.4
8.0	6.3	9	8.8
9.0	5.2	10	4.7
10.0	4.2	11	2.3
11.0	2.2	12	0.86
12.0	1.6	13	0.26
13.0	1.15	14	0.00
14.0	0.60	15	0.00
15.0	0.29
17.0	0.08
17.0	0.00
18.0	0.00
